epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4564,1.03828,0.79241,1.0349,0.7041,0.79196,0.74568,0.42521,1.36314,0.96685,1.23389,0.000551551,0.000551551,0.000551551
2,60.5654,1.12022,0.86972,1.08679,0.68997,0.74078,0.70118,0.40411,1.32433,0.9949,1.1881,0.00110614,0.00110614,0.00110614
3,97.367,1.16893,0.94447,1.10045,0.75215,0.7162,0.78697,0.448,1.44255,1.00397,1.24592,0.00165639,0.00165639,0.00165639
4,131.09,1.18576,0.98175,1.09615,0.7362,0.66462,0.74003,0.42114,1.42252,1.07011,1.2616,0.00165238,0.00165238,0.00165238
5,167.998,1.20058,0.96947,1.1226,0.67857,0.72868,0.70513,0.40478,1.35863,1.14371,1.21475,0.00164108,0.00164108,0.00164108
6,203.654,1.21198,0.97731,1.13904,0.70761,0.73065,0.74519,0.45564,1.33995,0.96775,1.18408,0.00162661,0.00162661,0.00162661
7,237.985,1.17817,0.93662,1.11148,0.66153,0.79042,0.75546,0.43589,1.38705,0.99269,1.23171,0.00160905,0.00160905,0.00160905
8,272.88,1.16824,0.88499,1.11278,0.69506,0.75502,0.7651,0.44661,1.36812,0.95228,1.22419,0.00158847,0.00158847,0.00158847
9,308.016,1.15681,0.87617,1.09126,0.6925,0.78757,0.77894,0.4741,1.34812,0.98828,1.21668,0.00156493,0.00156493,0.00156493
10,342.612,1.13198,0.8475,1.08507,0.69793,0.75645,0.7347,0.43161,1.38092,0.94549,1.23701,0.00153854,0.00153854,0.00153854
11,377.262,1.12418,0.87945,1.07854,0.71717,0.75591,0.76301,0.4452,1.41214,1.02135,1.24988,0.00150941,0.00150941,0.00150941
12,412.382,1.1239,0.83688,1.08683,0.75726,0.74325,0.78759,0.45191,1.36036,0.89017,1.23493,0.00147764,0.00147764,0.00147764
13,452.632,1.11837,0.83069,1.08542,0.58663,0.77651,0.67083,0.37406,1.40226,1.20518,1.26929,0.00144335,0.00144335,0.00144335
14,488.973,1.09369,0.86633,1.07543,0.68811,0.75387,0.78223,0.46521,1.38552,0.96552,1.23885,0.0014067,0.0014067,0.0014067
15,557.666,1.11048,0.85435,1.08382,0.67451,0.75107,0.69282,0.40977,1.32077,1.02238,1.22868,0.00136781,0.00136781,0.00136781
16,595.369,1.10241,0.85344,1.07913,0.75608,0.73398,0.786,0.45759,1.35248,0.96805,1.23223,0.00132685,0.00132685,0.00132685
17,623.521,1.09411,0.81557,1.07353,0.71273,0.74345,0.75455,0.44217,1.35634,0.93083,1.22856,0.00128398,0.00128398,0.00128398
18,651.838,1.08442,0.80337,1.07508,0.72711,0.77006,0.78256,0.45614,1.35978,0.8919,1.24327,0.00123936,0.00123936,0.00123936
19,680.003,1.04509,0.73681,1.05867,0.66847,0.79139,0.78874,0.47698,1.35294,0.90761,1.23066,0.00119317,0.00119317,0.00119317
20,707.932,1.0524,0.74771,1.06787,0.73021,0.75119,0.74714,0.43957,1.33974,0.89928,1.22768,0.0011456,0.0011456,0.0011456
21,735.875,1.05371,0.78715,1.06556,0.74879,0.76964,0.78767,0.47079,1.36788,0.83115,1.23167,0.00109683,0.00109683,0.00109683
22,764.287,1.05388,0.72553,1.05431,0.71945,0.81413,0.76593,0.46692,1.31543,0.89406,1.20321,0.00104705,0.00104705,0.00104705
23,792.654,1.03598,0.72744,1.04214,0.73607,0.7718,0.77328,0.46236,1.37268,0.91915,1.23696,0.000996456,0.000996456,0.000996456
24,820.9,1.01933,0.711,1.04844,0.71688,0.81884,0.81205,0.48752,1.33524,0.86676,1.23224,0.000945256,0.000945256,0.000945256
25,849.121,1.02039,0.69333,1.04701,0.73027,0.80619,0.8049,0.47665,1.37749,0.88743,1.23465,0.000893648,0.000893648,0.000893648
26,877.545,1.01569,0.70015,1.03557,0.76424,0.74203,0.8059,0.48399,1.36398,0.89938,1.24327,0.000841835,0.000841835,0.000841835
27,905.931,0.99624,0.67796,1.02517,0.75882,0.76055,0.7924,0.4686,1.36508,0.87194,1.26022,0.000790022,0.000790022,0.000790022
28,934.22,0.98561,0.6697,1.02208,0.7368,0.79108,0.79923,0.4842,1.36319,0.8915,1.23324,0.000738414,0.000738414,0.000738414
29,962.48,0.97489,0.6536,1.01697,0.74631,0.78415,0.79521,0.48128,1.34517,0.88059,1.22864,0.000687214,0.000687214,0.000687214
